PersonID,InsuranceType,LoanStatus,MembershipLevel,LastPurchaseAmount,PreferredContactMethod,NewsletterSubscribed,LoyaltyPoints
522,Premium,Approved,Silver,154.77721788807344,Email,0,4171
738,Basic,Approved,Bronze,167.14330727180666,Email,0,925
741,Premium,Pending,Bronze,146.9828982509656,Mail,0,3734
661,Basic,Approved,Platinum,37.62609058083342,Phone,0,969
412,None,Pending,Platinum,261.08728804958844,SMS,0,1094
679,Basic,Denied,Bronze,300.56479653512747,Mail,1,3195
627,Basic,Pending,Gold,78.52408448282078,SMS,0,1404
514,Basic,Approved,Bronze,299.50823460690515,Email,0,3364
860,Basic,Approved,Platinum,191.75814388822275,SMS,0,4290
137,None,Pending,Gold,298.01058785342997,Phone,1,3982
812,None,Pending,Gold,203.03603490323567,Phone,1,4323
77,Premium,Approved,Bronze,210.8435673726904,Email,1,4013
637,None,Denied,Platinum,229.794771758577,Phone,0,4556
974,None,Denied,Platinum,136.79469398917774,Phone,1,4713
939,Premium,Pending,Gold,295.57393154624174,Mail,1,3092
900,None,Denied,Bronze,110.28954895401722,SMS,1,4159
281,Basic,Approved,Silver,167.83466043866633,Email,0,2074
884,Basic,Pending,Silver,241.9411742114535,Email,1,284
762,Premium,Approved,Platinum,159.2643807611629,Email,0,4933
320,Premium,Approved,Silver,262.2024992651955,Email,0,4926
550,Premium,Denied,Platinum,310.06929385471653,Email,1,1187
175,Basic,Pending,Platinum,281.00368008430695,Phone,0,3969
372,None,Pending,Platinum,45.11077490571029,Mail,1,2965
528,Basic,Denied,Silver,210.06775756954858,Email,0,4319
211,Premium,Approved,Platinum,282.2946088557114,Mail,1,783
236,None,Approved,Gold,94.66009225423545,Mail,1,949
102,None,Approved,Bronze,257.88884697830997,Phone,1,3939
987,Basic,Approved,Bronze,253.39686253114496,Email,0,44
903,Premium,Pending,Platinum,103.03280864493878,Phone,1,1810
948,Basic,Pending,Bronze,266.7386132592129,Email,0,4566
347,None,Denied,Silver,221.8158234823948,Phone,1,2081
140,Basic,Denied,Silver,252.0305430977015,Mail,0,3498
622,Basic,Pending,Bronze,122.6950091387894,Email,0,829
500,Premium,Pending,Silver,212.01088930971076,SMS,1,1909
371,Premium,Approved,Bronze,63.6097156694141,Mail,1,2581
199,None,Approved,Bronze,17.840703397355924,SMS,1,691
688,Basic,Denied,Bronze,211.26627412221998,Mail,1,4019
585,Basic,Pending,Platinum,288.04780854090484,Phone,1,931
902,Basic,Denied,Bronze,220.2349451412064,Email,0,4936
60,None,Pending,Platinum,194.92431488446834,Mail,1,3406
329,None,Approved,Bronze,184.99727039561014,Phone,1,147
97,Premium,Denied,Bronze,124.59476868455475,Email,0,1032
313,Premium,Denied,Bronze,182.2511276963755,Email,1,1311
975,Premium,Pending,Silver,233.73475746115557,Mail,1,387
300,Basic,Approved,Platinum,165.18222137594972,Email,0,3121
278,Basic,Denied,Platinum,260.04694830686213,Mail,1,1873
925,Premium,Approved,Bronze,215.67800270916823,Email,1,3588
602,Basic,Denied,Bronze,225.35835342187252,SMS,1,915
440,Premium,Approved,Silver,271.09302028407683,Phone,0,1878
838,None,Pending,Silver,157.85956538760075,SMS,1,3748
571,Premium,Denied,Silver,252.75044689495613,Mail,0,277
880,None,Denied,Platinum,169.08186261984207,SMS,1,1977
262,Basic,Approved,Platinum,227.1611587055072,Mail,0,1859
579,Premium,Approved,Platinum,148.33829194907452,Email,1,3036
24,Basic,Denied,Bronze,127.14369415482142,Email,0,3371
31,None,Pending,Platinum,207.3491796518795,Mail,0,4713
618,None,Approved,Gold,49.183995838310636,SMS,0,2182
11,None,Approved,Gold,176.29860451928946,Email,0,4675
222,Basic,Approved,Silver,71.48983955126556,Phone,0,1170
821,Basic,Denied,Platinum,262.3387227450886,Email,0,489
297,Basic,Denied,Gold,284.00884768871316,Phone,1,2525
55,Basic,Denied,Silver,130.8839022863355,SMS,1,1182
543,None,Denied,Platinum,234.2650369978797,Phone,0,4479
210,None,Pending,Bronze,271.93085709499934,Phone,0,4258
