PersonID,Age,Income,EducationYears,HoursWorkedPerWeek,YearsAtJob,CreditScore,MonthlyExpenses,Savings,Debt,HealthScore,Gender,MaritalStatus,OwnsHouse,JobSector,Region,HasPet,VehicleType,InternetAccess,GymMember,JobSatisfaction
1,40,92987.10873172004,13.974465175076856,30.553154652735653,3.3181165307975946,692.4941524373097,2300.614143580459,16996.981185494453,15738.634344108805,63.41396736340515,Male,Divorced,0,Healthcare,East,1,Motorcycle,Moderate,1,8.941114696272908
2,33,83492.67365825537,15.566443987853448,36.837689935322985,0.4463589043263435,636.7996916026318,2425.664136972173,40988.41925106739,26935.86535476262,56.843510241211824,Female,Married,1,Other,North,1,Car,Moderate,0,8.780716729350774
3,42,66192.60739840349,13.622740237000116,39.51836679947014,17.96083130004628,724.3092395780969,4668.809603849881,43087.13518715976,1595.113586335632,69.85911195632102,Male,Widowed,1,Finance,South,0,Motorcycle,None,1,5.224026845221
4,53,52061.26444588852,15.07611541108288,53.32612594404114,3.649164035124248,602.5314122338789,2319.277403377996,43585.97315405491,11801.737221112438,83.97655771649744,Male,Married,1,Finance,North,1,Car,None,0,10.075849093826609
5,32,78964.46627227179,10.319155999138644,45.33931874720255,4.762002620964084,597.4821271357899,2857.0870528750524,15768.11334599133,16443.100194350787,87.56197439413683,Male,Divorced,1,Education,South,0,None,HighSpeed,0,7.522923475152469
6,32,72869.70770843499,16.639881122118815,33.98711058540065,1.3499297670397967,736.9590247350784,2045.4446262702836,38460.543574767056,-3337.0576762943456,86.87713384138455,Male,Married,1,Education,East,0,None,Slow,0,7.10042461131098
7,53,82903.86440055465,16.003616426086673,44.91621773650582,3.303381414942359,725.3510136067679,2706.662802528422,5765.707583469828,6664.017170335936,66.84090464851447,Male,Widowed,1,Other,East,1,Motorcycle,HighSpeed,1,11.24888061240215
8,44,77703.43603363939,13.548734106795427,32.716176066369805,2.8031395544308078,697.1302317462983,2333.236427461068,6396.456879169085,8201.114602638136,63.46293676369636,Male,Single,1,Retail,West,1,Car,Slow,1,7.791481562215467
9,29,85991.05430638671,17.977737005297215,48.49614632332244,0.3892447228394113,630.2275747622464,2212.637062089189,-15256.837789365418,7040.2962614950175,79.96634614979895,Male,Divorced,0,Retail,South,0,Truck,Moderate,1,10.321021059797063
10,41,54295.29576878864,18.812710412879674,39.17325208909273,0.5611444314044407,664.6044529662962,3773.228972540228,45093.02302847795,16918.895450216474,81.35100011597925,Male,Married,1,Education,North,1,Motorcycle,Moderate,0,9.00745024610478
11,29,91347.88131268651,11.177320406893076,41.438182867564976,9.084540907357626,686.8626626156748,3324.029474229037,7040.302263858826,13394.403904982026,79.00169605200497,Other,Divorced,1,Retail,South,1,None,Moderate,0,6.340860093644412
12,29,68951.99209384799,13.711825664301358,49.95477988525314,1.3709998438399396,620.2053015712943,2595.7226531794613,18102.0113037941,9447.138973989637,54.85936725762237,Female,Married,0,Tech,North,0,Motorcycle,Moderate,0,8.084615394232268
13,37,106505.21745250533,13.692572950638104,34.2770185884945,1.0843058312969118,663.0485670988384,887.0516448392232,6345.134871075741,19279.62626552635,66.33115415116534,Male,Single,0,Other,West,1,Car,None,1,9.679124851606792
14,12,51216.243638208645,13.180290696673406,33.61729088932205,3.5150932302417464,732.616516908834,2247.2935437232013,30427.478724952107,32230.747176462497,74.70311209714022,Female,Widowed,1,Tech,South,1,Truck,HighSpeed,0,6.775407886375881
15,14,99719.27606330498,18.48842452579525,38.49840404192397,7.3212174887384,771.3652682144608,4392.119295083558,14365.495089239896,31392.56516741752,79.87218194630427,Male,Married,0,Retail,East,0,Truck,Slow,1,9.623742503090728
16,28,68958.21566925295,15.418521583681589,48.2302731061159,0.3197415758048822,679.0282623670724,2338.536833352204,427.7466435057613,-4227.717720623365,82.67307362602487,Male,Married,0,Education,North,1,Motorcycle,Slow,1,7.651713386579462
17,22,51971.63992771103,15.206455476068168,32.88392354713895,4.299645561570667,737.8244177158049,3272.2523004375607,26624.93846279091,20770.7218383514,76.4425352228204,Other,Single,0,Tech,East,0,Car,None,1,6.336506508772564
18,38,55322.28331891357,9.98841290677974,25.007066411336588,0.6346827486498934,604.2969964706266,3509.3596813668205,-1505.9503721534277,13219.767099361616,78.30783806538236,Female,Divorced,1,Finance,West,0,Car,Moderate,1,6.405722500054556
19,24,58593.0538361136,17.90625409062768,39.29304684954601,0.1857118363487568,732.9725620556806,2653.2747410991824,7438.914120267631,16551.553428653562,75.84865458361104,Female,Widowed,1,Education,West,1,Truck,HighSpeed,1,9.65319018344962
20,18,73483.31892803832,12.282224815439582,45.31044479946552,0.2709292223847981,659.802579263626,1910.7248576922932,-11603.336719391213,11017.169664574514,81.85619374218483,Other,Married,0,Other,North,0,None,Moderate,0,10.443679205332096
21,52,75456.70976070999,16.179797890798984,49.20157049843297,8.98378291640906,715.3672808353986,795.281367751978,-1359.3716829641016,16175.886298872025,78.12865651490911,Other,Married,1,Healthcare,South,1,Car,None,0,10.990724354764469
22,32,53525.99992122842,16.832130813874574,39.22103182748761,0.6276601288068672,687.6123790880146,2978.9142460262683,22677.937545807166,16514.073960720187,75.65737660047287,Female,Widowed,1,Healthcare,East,1,Truck,Slow,0,8.670931906110665
23,35,64512.90815478034,20.08197578751595,39.53144035730399,0.2310122391507228,766.0207004891918,1929.6707980235165,-9468.040571543868,9210.482426510767,72.3163120086262,Male,Single,1,Education,East,0,Truck,None,0,10.402734557686824
24,17,107845.40717223728,12.073538802642664,48.92340440553448,2.8803765409826503,656.2782175830041,2623.3053163213845,-2217.1858693257345,6036.324521748193,75.81291425042481,Male,Divorced,0,Retail,North,0,Car,Slow,0,9.067783978845464
